molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_3435,-5.246,-2.056,3.190,0.094,-43887.311,-43881.049,-43888.369,-1.059,6.261
hc_c42h24_0pent_5299,-5.141,-2.204,2.937,0.066,-43887.798,-43881.626,-43888.972,-1.174,6.172
hc_c42h24_0pent_2250,-5.341,-1.867,3.474,0.413,-43887.839,-43881.477,-43888.725,-0.886,6.362
hc_c42h24_0pent_1700,-5.325,-1.971,3.355,0.114,-43888.014,-43881.669,-43888.993,-0.979,6.346
hc_c42h24_0pent_2912,-5.217,-2.039,3.178,0.152,-43887.575,-43881.359,-43888.639,-1.064,6.215
hc_c42h24_0pent_6175,-4.983,-2.236,2.747,0.253,-43887.397,-43881.330,-43888.610,-1.212,6.068
hc_c38h22_0pent_1090,-5.373,-1.873,3.499,0.029,-39712.788,-39706.383,-39713.657,-0.869,6.405
hc_c42h24_0pent_6491,-4.858,-2.532,2.326,0.072,-43888.248,-43882.381,-43889.792,-1.543,5.867
hc_c34h20_0pent_202,-5.334,-1.948,3.386,0.090,-35537.554,-35531.113,-35538.433,-0.879,6.441
hc_c42h24_0pent_1268,-5.412,-1.844,3.569,0.195,-43887.792,-43881.362,-43888.652,-0.860,6.430
hc_c42h24_0pent_4170,-5.435,-1.842,3.594,0.110,-43888.298,-43881.844,-43889.155,-0.856,6.455
hc_c42h24_0pent_5771,-5.050,-2.220,2.830,0.101,-43887.517,-43881.427,-43888.735,-1.218,6.090
hc_c42h24_0pent_2568,-5.266,-1.994,3.272,0.358,-43887.715,-43881.392,-43888.672,-0.957,6.323
hc_c42h24_0pent_4673,-4.980,-2.383,2.597,0.167,-43888.058,-43882.019,-43889.399,-1.340,6.040
hc_c42h24_0pent_5050,-5.222,-2.131,3.091,0.304,-43888.263,-43882.013,-43889.381,-1.118,6.250
hc_c42h24_0pent_1159,-5.150,-2.144,3.006,0.148,-43887.996,-43881.838,-43889.149,-1.154,6.158
hc_c42h24_0pent_827,-5.257,-1.984,3.273,0.178,-43887.515,-43881.224,-43888.471,-0.956,6.290
hc_c42h24_0pent_1762,-5.451,-1.854,3.596,0.237,-43888.098,-43881.610,-43888.963,-0.865,6.488
hc_c42h24_0pent_5890,-4.966,-2.276,2.690,0.036,-43887.715,-43881.762,-43889.019,-1.304,5.953
hc_c42h24_0pent_3593,-5.190,-2.113,3.077,0.089,-43887.905,-43881.715,-43889.049,-1.143,6.191
hc_c42h24_0pent_5237,-5.122,-2.246,2.876,0.084,-43888.360,-43882.215,-43889.599,-1.238,6.145
hc_c42h24_0pent_3223,-5.333,-1.916,3.416,0.159,-43887.624,-43881.288,-43888.576,-0.952,6.337
hc_c42h24_0pent_3268,-5.295,-1.980,3.315,0.135,-43888.286,-43881.983,-43889.301,-1.014,6.303
hc_c38h22_0pent_1164,-5.349,-1.882,3.467,0.000,-39712.748,-39706.354,-39713.618,-0.870,6.393
hc_c42h24_0pent_5511,-5.134,-2.158,2.977,0.229,-43887.752,-43881.390,-43888.763,-1.010,6.362
hc_c42h24_0pent_2505,-5.439,-1.876,3.563,0.239,-43888.413,-43881.943,-43889.263,-0.850,6.470
hc_c42h24_0pent_5458,-5.172,-2.191,2.981,0.216,-43888.557,-43882.371,-43889.757,-1.200,6.186
hc_c42h24_0pent_1970,-5.397,-1.873,3.524,0.073,-43888.092,-43881.688,-43888.991,-0.899,6.404
hc_c42h24_0pent_4774,-4.913,-2.362,2.552,0.062,-43887.278,-43881.353,-43888.649,-1.371,5.925
hc_c22h14_0pent_1,-5.610,-1.548,4.062,0.092,-23011.975,-23005.052,-23012.262,-0.287,6.922
hc_c42h24_0pent_2386,-5.428,-1.874,3.554,0.213,-43888.397,-43881.952,-43889.283,-0.885,6.445
hc_c42h24_0pent_1139,-5.171,-2.134,3.037,0.281,-43888.031,-43881.849,-43889.145,-1.114,6.181
hc_c42h24_0pent_2766,-5.386,-1.887,3.499,0.093,-43888.383,-43882.012,-43889.310,-0.927,6.372
hc_c42h24_0pent_2917,-5.248,-2.055,3.192,0.100,-43888.287,-43882.062,-43889.388,-1.101,6.225
hc_c42h24_0pent_3573,-5.137,-2.059,3.078,0.153,-43887.344,-43881.202,-43888.428,-1.084,6.142
hc_c42h24_0pent_6231,-4.838,-2.542,2.295,0.185,-43887.978,-43882.108,-43889.513,-1.535,5.870
hc_c38h22_0pent_1154,-5.414,-1.826,3.588,0.229,-39712.608,-39706.107,-39713.425,-0.817,6.501
