molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c34h20_0pent_220,LAA()aa,LAA()AA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,4,1,0,0
hc_c34h20_0pent_221,LAaAAA,LAAAAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,3,5,1,1,0
hc_c34h20_0pent_222,LAAaAL,LAAAAL,8,0,0,0,0.3333,1,2,0,0.5000,0.6667,0.3333,2,4,1,1,0
hc_c34h20_0pent_223,LAaAAa,LAAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,5,1,1,0
hc_c34h20_0pent_224,LAaA()L,LAAA()L,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,1,3,1,0,0
hc_c34h20_0pent_225,LAaALa,LAAALA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,1,3,1,0,1
hc_c34h20_0pent_226,LAaALA,LAAALA,8,0,0,0,0.3333,1,2,0,0.5000,0.6667,0.3333,1,3,1,0,1
hc_c34h20_0pent_227,LAa()AL,LAA()AL,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,1,3,1,0,0
hc_c34h20_0pent_228,LAaA()a,LAAA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,4,1,0,0
hc_c34h20_0pent_229,LA()aAa,LA()AAA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,4,1,0,0
hc_c34h20_0pent_23,AAA()AA,AAA()AA,8,1,0,0,0.0000,0,8,0,0.8333,0.8333,0.0000,5,5,1,0,0
hc_c34h20_0pent_230,ALaAaA,ALAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,1,4,1,0,1
hc_c34h20_0pent_231,ALAaAa,ALAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,1,4,1,0,1
hc_c34h20_0pent_232,LAa()Aa,LAA()AA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,4,1,0,0
hc_c34h20_0pent_233,LAaAA(),LAAAA(),8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,4,1,1,0
hc_c34h20_0pent_234,LAaAaA,LAAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,1,5,1,0,0
hc_c34h20_0pent_235,LAaAaL,LAAAAL,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,1,4,1,0,0
hc_c34h20_0pent_236,LAaAaa,LAAAAA,8,0,0,0,0.1667,1,1,0,0.3333,0.8333,0.6667,2,5,1,1,0
hc_c34h20_0pent_237,LAa()A(),LAA()A(),8,2,0,0,0.1667,1,1,0,0.3333,0.5000,0.5000,1,3,1,0,0
hc_c34h20_0pent_238,LAaA()A,LAAA()A,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,4,1,1,0
hc_c34h20_0pent_239,LAaa()A,LAAA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,4,1,1,0
hc_c34h20_0pent_24,AAAAAa,AAAAAA,8,0,0,0,0.0000,0,7,0,0.8333,1.0000,0.2000,5,6,1,1,0
hc_c34h20_0pent_240,LAaa()a,LAAA()A,8,1,0,0,0.1667,1,1,0,0.1667,0.6667,0.3333,3,4,1,1,0
hc_c34h20_0pent_241,LA(A)aA,LA(A)AA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,3,1,1,2
hc_c34h20_0pent_242,LA(a)aA,LA(A)AA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,3,1,0,2
hc_c34h20_0pent_243,LA()a()A,LA()A()A,8,2,0,0,0.1667,1,1,0,0.3333,0.5000,0.5000,1,3,1,0,0
hc_c34h20_0pent_244,LA()aAA,LA()AAA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,4,1,1,0
hc_c34h20_0pent_245,LA()aA(),LA()AA(),8,2,0,0,0.1667,1,1,0,0.3333,0.5000,0.5000,1,3,1,0,0
hc_c34h20_0pent_246,AALaAa,AALAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,3,1,1,2
hc_c34h20_0pent_247,A()LAaA,A()LAAA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,1,3,1,0,1
hc_c34h20_0pent_248,ALaA()a,ALAA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,3,1,0,1
hc_c34h20_0pent_249,ALaAaa,ALAAAA,8,0,0,0,0.1667,1,1,0,0.3333,0.8333,0.6667,2,4,1,1,1
hc_c34h20_0pent_25,AaaaaA,AAAAAA,8,0,0,0,0.0000,0,7,0,0.3333,1.0000,0.5000,4,6,1,1,0
hc_c34h20_0pent_250,ALaAA(),ALAAA(),8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,3,1,1,1
hc_c34h20_0pent_251,ALa()Aa,ALA()AA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,1,3,1,0,1
hc_c34h20_0pent_252,ALAa()A,ALAA()A,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,1,3,1,0,1
hc_c34h20_0pent_253,ALAaAA,ALAAAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,2,4,1,1,1
hc_c34h20_0pent_254,ALAaA(),ALAAA(),8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,1,3,1,0,1
hc_c34h20_0pent_255,ALA()aA,ALA()AA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,1,3,1,0,1
hc_c34h20_0pent_256,AALAaA,AALAAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,2,3,1,1,2
hc_c34h20_0pent_257,LAA(A)A,LAA(A)A,8,1,0,0,0.1667,1,1,0,0.6667,0.6667,0.0000,3,3,2,0,0
hc_c34h20_0pent_258,LAa()AA,LAA()AA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,4,1,1,0
hc_c34h20_0pent_259,LAA(L)A,LAA(L)A,8,1,0,0,0.3333,1,2,0,0.5000,0.5000,0.0000,3,3,1,0,0
hc_c34h20_0pent_26,AAaaaA,AAAAAA,8,0,0,0,0.0000,0,7,0,0.5000,1.0000,1.0000,3,6,1,2,0
hc_c34h20_0pent_260,LAA(L)a,LAA(L)A,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,2,3,1,1,0
hc_c34h20_0pent_261,LA()a()L,LA()A()L,8,2,0,0,0.3333,1,2,0,0.1667,0.3333,1.0000,1,2,1,0,0
hc_c34h20_0pent_262,LAaLAA,LAALAA,8,0,0,0,0.3333,1,2,0,0.5000,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_263,LALaAL,LALAAL,8,0,0,1,0.5000,1,3,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_264,LAaLAa,LAALAA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,1,2,2,0,0
hc_c34h20_0pent_265,LAaLA(),LAALA(),8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_266,LA()aLA,LA()ALA,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_267,ALaALa,ALAALA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,1,2,1,0,1
hc_c34h20_0pent_268,ALAaLA,ALAALA,8,0,0,0,0.3333,1,2,0,0.5000,0.6667,0.3333,1,2,1,0,1
hc_c34h20_0pent_269,LAa()LA,LAA()LA,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,1,2,1,0,1
