molecule_id smiles
hc_c42h24_0pent_3161 c1ccc2c(c1)ccc1cc3ccc4c(ccc5c4ccc4c6c7ccccc7ccc6c6ccccc6c54)c3cc12
hc_c42h24_0pent_3988 c1ccc2cc3c(ccc4c3ccc3c4ccc4c5ccccc5c5c6cc7ccccc7cc6ccc5c34)cc2c1
hc_c46h26_0pent_20151 c1ccc2cc3cc4c(ccc5cc6c7ccccc7c7c(ccc8ccc9c%10ccccc%10ccc9c87)c6cc54)cc3cc2c1
hc_c46h26_0pent_18014 c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1ccc2ccc3cc5ccc6ccc7ccccc7c6c5cc3c2c14
hc_c46h26_0pent_22623 c1ccc2c(c1)ccc1cc3ccc4c(ccc5c6cc7cc8c(ccc9ccc%10ccccc%10c98)cc7cc6ccc54)c3cc12
hc_c46h26_0pent_11932 c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3c4ccc4c5ccc6ccccc6c5c5c6ccccc6ccc5c34)cc12
hc_c42h24_0pent_1540 c1ccc2c(c1)ccc1cc3ccc4ccc5c6ccc7c8ccc9ccccc9c8ccc7c6ccc5c4c3cc12
hc_c46h26_0pent_22381 c1ccc2c(c1)ccc1cc3cc4c(ccc5c4ccc4c5ccc5ccc6c(ccc7ccc8ccccc8c76)c54)cc3cc12
hc_c46h26_0pent_18492 c1ccc2cc3cc4c(ccc5ccc6cc7c(cc6c54)c4ccccc4c4c7ccc5ccc6ccccc6c54)cc3cc2c1
hc_c46h26_0pent_9673 c1ccc2cc3c(ccc4cc5ccc6ccc7cc8ccc9cc%10c(ccc%11ccccc%11%10)cc9c8cc7c6c5cc43)cc2c1
hc_c46h26_0pent_9521 c1ccc2cc3c(ccc4ccc5cc6c7ccccc7c7cc8ccc9c%10ccccc%10ccc9c8cc7c6cc5c43)cc2c1
hc_c46h26_0pent_9289 c1ccc2cc3c(ccc4cc5c(cc43)c3cc4ccc6ccccc6c4cc3c3ccc4ccc6ccccc6c4c35)cc2c1
hc_c46h26_0pent_15982 c1ccc2cc3c(ccc4ccc5c6cc7c8ccccc8c8c9ccccc9ccc8c7cc6c6ccccc6c5c43)cc2c1
hc_c42h24_0pent_5227 c1ccc2cc3cc4c(ccc5cc6c(ccc7cc8c9ccccc9c9ccccc9c8cc76)cc54)cc3cc2c1
hc_c46h26_0pent_19913 c1ccc2cc3c(cc2c1)c1cc2c(ccc4cc5cc6c(ccc7ccccc76)cc5cc42)cc1c1c2ccccc2ccc31
hc_c42h24_0pent_1187 c1ccc2cc3c(ccc4ccc5cc6c(cc5c43)c3ccc4ccccc4c3c3c4ccccc4ccc63)cc2c1
hc_c46h26_0pent_25043 c1ccc2cc3cc4cc5c(cc4cc3cc2c1)c1ccccc1c1ccc2c3ccccc3c3ccc4ccccc4c3c2c15
hc_c42h24_0pent_3446 c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3c4c4ccccc4c4ccc5ccc6ccccc6c5c43)cc12
hc_c46h26_0pent_20626 c1ccc2c(c1)ccc1cc3cc4c(ccc5cc6c(ccc7c6ccc6c8ccc9ccccc9c8ccc76)cc54)cc3cc12
hc_c46h26_0pent_24012 c1ccc2cc3cc4c(ccc5c6c7ccc8ccc9ccccc9c8c7ccc6c6ccc7ccccc7c6c45)cc3cc2c1
hc_c46h26_0pent_8386 c1ccc2cc3c(ccc4cc5c(ccc6c5ccc5ccc7ccc8c9ccccc9c9ccccc9c8c7c56)cc43)cc2c1
hc_c46h26_0pent_5214 c1ccc2cc3c(ccc4ccc5c6ccc7ccc8ccccc8c7c6c6c(ccc7ccc8ccccc8c76)c5c43)cc2c1
hc_c46h26_0pent_25761 c1ccc2c(c1)ccc1cc3cc4cc5c(ccc6cc7ccc8ccc9ccc%10ccccc%10c9c8c7cc65)cc4cc3cc12
hc_c38h22_0pent_1470 c1ccc2c(c1)ccc1cc3cc4c(ccc5c4ccc4c5ccc5ccc6ccccc6c54)cc3cc12
hc_c46h26_0pent_8473 c1ccc2cc3c(ccc4cc5c(cc43)c3c4ccc6ccccc6c4c4ccccc4c3c3ccc4ccccc4c53)cc2c1
hc_c42h24_0pent_5321 c1ccc2cc3c(ccc4c5cc6cc7ccc8ccccc8c7cc6cc5c5cc6ccccc6cc5c34)cc2c1
hc_c46h26_0pent_16882 c1ccc2c(c1)ccc1cc3c(cc12)c1ccc2ccccc2c1c1c3ccc2ccc3ccc4c5ccccc5ccc4c3c21
hc_c46h26_0pent_14171 c1ccc2cc3c(cc2c1)c1ccccc1c1c2cc4c5ccccc5c5ccc6ccc7ccccc7c6c5c4cc2ccc31
hc_c42h24_0pent_4004 c1ccc2cc3c(ccc4c3ccc3ccc5c6ccc7ccccc7c6c6c7ccccc7ccc6c5c34)cc2c1
hc_c42h24_0pent_6351 c1ccc2c(c1)ccc1cc3cc4cc5c6ccccc6c6cc7ccc8ccccc8c7cc6c5cc4cc3cc12
hc_c38h22_0pent_14 c1ccc2c(c1)ccc1ccc3c4ccc5ccccc5c4c4c(ccc5ccc6ccccc6c54)c3c12
hc_c46h26_0pent_23620 c1ccc2c(c1)ccc1cc3cc4c(ccc5c6cc7ccc8cc9ccc%10ccccc%10c9cc8c7cc6ccc45)cc3cc12
hc_c46h26_0pent_3697 c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2cc4c5ccc6ccccc6c5c5ccc6ccccc6c5c4cc2c13
hc_c46h26_0pent_24020 c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1c4ccc2ccc3c4cc5c(ccc6ccccc65)cc4ccc3c21
hc_c46h26_0pent_3016 c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccc4c5ccccc5c5ccc6ccc7ccccc7c6c5c4c2c13
hc_c46h26_0pent_20316 c1ccc2cc3c(ccc4c5cc6cc7ccc8cc9cc%10ccc%11ccccc%11c%10cc9cc8c7cc6cc5ccc34)cc2c1
hc_c46h26_0pent_26423 c1ccc2c(c1)ccc1cc3cc4cc5ccc6c(ccc7ccc8ccc9c%10ccccc%10ccc9c8c76)c5cc4cc3cc12
hc_c46h26_0pent_11777 c1ccc2cc3c(ccc4c5ccc6cc7ccccc7cc6c5c5c6ccc7ccc8ccccc8c7c6ccc5c34)cc2c1
hc_c46h26_0pent_5864 c1ccc2c(c1)ccc1cc3c(ccc4ccc5c(c6ccccc6c6c7ccccc7c7ccc8ccccc8c7c56)c43)cc12
hc_c46h26_0pent_7796 c1ccc2cc3c(ccc4cc5c(ccc6cc7c(ccc8c9ccccc9c9ccc%10ccccc%10c9c78)cc65)cc43)cc2c1
hc_c46h26_0pent_15164 c1ccc2cc3c(ccc4c3ccc3ccc5c6cc7c(ccc8c7ccc7c9ccccc9ccc78)cc6ccc5c34)cc2c1
hc_c46h26_0pent_869 c1ccc2c(c1)ccc1c2c2ccccc2c2c3c(ccc4c3ccc3ccc5ccc6ccccc6c5c34)c3ccccc3c12
hc_c46h26_0pent_1851 c1ccc2c(c1)ccc1ccc3c4ccc5c(ccc6c5ccc5c7ccccc7c7ccc8ccccc8c7c65)c4ccc3c12
hc_c46h26_0pent_8915 c1ccc2c(c1)ccc1ccc3cc4c(ccc5cc6ccc7c8c9ccccc9ccc8c8ccccc8c7c6cc54)cc3c12
hc_c46h26_0pent_22959 c1ccc2c(c1)ccc1cc3cc4c(cc3cc12)c1ccc2c3ccccc3ccc2c1c1c2ccc3ccccc3c2ccc41
