molecule_id,smiles,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_6496,c1ccc2cc3cc4cc5c(ccc6c7cc8ccccc8cc7c7ccc8ccccc8c7c56)cc4cc3cc2c1,aa(l)alll,1,2,3,1,1,0.5714285714285714,0,10,-4.714,-2.581,2.133,0.181,-43887.385,-43881.628,-43888.945,-1.561,5.757
hc_c42h24_0pent_5937,c1ccc2cc3cc4c(ccc5c6cc7ccc8ccccc8c7cc6c6ccc7ccccc7c6c45)cc3cc2c1,llaa(a)la,1,3,2,1,1,0.4285714285714285,0,10,-4.943,-2.32,2.623,0.19,-43887.737,-43881.741,-43889.038,-1.301,5.996
hc_c38h22_0pent_260,c1ccc2cc3c(ccc4ccc5ccc6cc7ccc8c9ccccc9ccc8c7cc6c5c43)cc2c1,laaalaa,0,3,1,2,0,0.2857142857142857,0,9,-5.292,-1.969,3.323,0.26,-39712.628,-39706.06,-39713.505,-0.877,6.568
hc_c42h24_0pent_3294,c1ccc2cc3c(ccc4ccc5c6ccc7c8cc9ccc%10ccccc%10c9cc8ccc7c6ccc5c43)cc2c1,laaaaala,0,5,1,2,0,0.25,0,10,-5.364,-1.959,3.405,0.114,-43888.316,-43881.968,-43889.323,-1.007,6.348
hc_c34h20_0pent_414,c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1c4ccc2ccc3ccccc3c21,lla()aa,1,3,2,1,0,0.4,0,8,-5.123,-2.185,2.938,0.082,-35537.319,-35531.076,-35538.409,-1.09,6.244
hc_c34h20_0pent_67,c1ccc2c(c1)ccc1c3ccccc3c3ccc4c5ccccc5c5ccccc5c4c3c21,aa()aa(),2,4,0,0,0,0.0,0,8,-5.513,-1.675,3.838,0.106,-35537.313,-35530.696,-35537.942,-0.629,6.617
hc_c38h22_0pent_1471,c1ccc2c(c1)ccc1cc3cc4c(ccc5c4ccc4c6ccccc6c6ccccc6c54)cc3cc12,allaaa(),1,3,2,1,0,0.3333333333333333,0,9,-5.152,-2.17,2.982,0.172,-39712.93,-39706.695,-39714.055,-1.124,6.235
hc_c42h24_0pent_6019,c1ccc2c(c1)ccc1c2ccc2ccc3c4cc5cc6c7ccccc7c7ccccc7c6cc5cc4ccc3c21,a()llaaaa,1,4,2,1,0,0.2857142857142857,0,10,-5.176,-2.185,2.991,0.14,-43888.231,-43882.035,-43889.424,-1.193,6.196
hc_c38h22_0pent_799,c1ccc2cc3c(ccc4c3ccc3c5cc6ccccc6cc5c5cc6ccccc6cc5c43)cc2c1,laaa(l)l,1,3,1,3,0,0.5,0,9,-5.42,-1.898,3.522,0.13,-39712.868,-39706.409,-39713.761,-0.893,6.459
hc_c30h18_0pent_40,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccc4ccccc4c2cc31,ala()l,1,1,1,2,0,0.5,0,7,-5.546,-1.77,3.776,0.037,-31362.801,-31356.097,-31363.442,-0.641,6.704
